"Suite name","Test name","Test number","Lsl","Lsl_typ","Usl_typ","Usl","Units","Lsl","Lsl_typ","Usl_typ","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"TX_ACLR_3G_B1_TX_HB2","AclrLower_H",60100002,-70,"GE","LE",-40,"dB",,,,,,6010,"TX_ACLR_3G_B1_TX_HB2_FAILED",6,"TX_FAILED",,,,
"TX_ACLR_4G_B30_TX_UHB1","ChannelPower",60220000,3.5,"GE","LE",15,"dBm",,,,,,6022,"TX_ACLR_4G_B30_TX_UHB1_FAILED",6,"TX_FAILED",,,,
"TX_ACLR_4G_B30_TX_UHB1","UTRA1_L",60220001,-70,"GE","LE",-40,"dB",,,,,,6022,"TX_ACLR_4G_B30_TX_UHB1_FAILED",6,"TX_FAILED",,,,
"TX_ACLR_4G_B30_TX_UHB1","UTRA1_U",60220002,-70,"GE","LE",-40,"dB",,,,,,6022,"TX_ACLR_4G_B30_TX_UHB1_FAILED",6,"TX_FAILED",,,,
"TX_ACLR_4G_B30_TX_UHB1","UTRA2_L",60220003,-70,"GE","LE",-43,"dB",,,,,,6022,"TX_ACLR_4G_B30_TX_UHB1_FAILED",6,"TX_FAILED",,,,
"TX_ACLR_4G_B30_TX_UHB1","UTRA2_U",60220004,-70,"GE","LE",-43,"dB",,,,,,6022,"TX_ACLR_4G_B30_TX_UHB1_FAILED",6,"TX_FAILED",,,,
"TX_ACLR_4G_B30_TX_UHB1","EUTRA_L",60220005,-70,"GE","LE",-37,"dB",,,,,,6022,"TX_ACLR_4G_B30_TX_UHB1_FAILED",6,"TX_FAILED",,,,
"TX_ACLR_4G_B30_TX_UHB1","EUTRA_U",60220006,-70,"GE","LE",-37,"dB",,,,,,6022,"TX_ACLR_4G_B30_TX_UHB1_FAILED",6,"TX_FAILED",,,,
"TX_EVM_3G_B3_TX_HB3","ChannelPower",60300000,4,"GE","LE",15,"dBm",,,,,,6030,"TX_EVM_3G_B3_TX_HB3_FAILED",6,"TX_FAILED",,,,
"TX_EVM_3G_B3_TX_HB3","EVMrms",60300001,0.01,"GE","LE",5,"per",,,,,,6030,"TX_EVM_3G_B3_TX_HB3_FAILED",6,"TX_FAILED",,,,
"TX_EVM_3G_B3_TX_HB3","EVMsr",60300002,0.01,"GE","LE",5,"per",,,,,,6030,"TX_EVM_3G_B3_TX_HB3_FAILED",6,"TX_FAILED",,,,
"TX_EVM_3G_B3_TX_HB3","EVMlimit",60300003,0,"GE","LE",20,"per",,,,,,6030,"TX_EVM_3G_B3_TX_HB3_FAILED",6,"TX_FAILED",,,,
"TX_EVM_4G_B44_TX_LB1","ChannelPower",60430000,3.5,"GE","LE",15,"dBm",,,,,,6043,"TX_EVM_4G_B44_TX_LB1_FAILED",6,"TX_FAILED",,,,
"TX_EVM_4G_B44_TX_LB1","EVMrms",60430001,0.01,"GE","LE",5,"per",,,,,,6043,"TX_EVM_4G_B44_TX_LB1_FAILED",6,"TX_FAILED",,,,
"TX_EVM_4G_B44_TX_LB1","EVMpeak",60430002,0.01,"GE","LE",89,"per",,,,,,6043,"TX_EVM_4G_B44_TX_LB1_FAILED",6,"TX_FAILED",,,,
"TX_HD_2G_B3_TX_HB2","Power",60460000,2,"GE","LE",15,"dBm",,,,,,6046,"TX_HD_2G_B3_TX_HB2_FAILED",6,"TX_FAILED",,,,
"TX_HD_2G_B3_TX_HB2","PowerDelta3LO",60460001,-89,"GE","LE",-24,"dBm",,,,,,6046,"TX_HD_2G_B3_TX_HB2_FAILED",6,"TX_FAILED",,,,
"TX_HD_2G_B3_TX_HB2","HD3",60460002,-80,"GE","LE",-41,"dBm",,,,,,6046,"TX_HD_2G_B3_TX_HB2_FAILED",6,"TX_FAILED",,,,
"TX_HD_2G_B3_TX_HB2","HD5",60460003,-110,"GE","LE",-55,"dBm",,,,,,6046,"TX_HD_2G_B3_TX_HB2_FAILED",6,"TX_FAILED",,,,
"TX_HD_4G_10M_B12_TX_LB3","Power",60510000,4,"GE","LE",15,"dBm",,,,,,6051,"TX_HD_4G_10M_B12_TX_LB3_FAILED",6,"TX_FAILED",,,,
"TX_HD_4G_10M_B12_TX_LB3","PowerDelta3LO",60510001,-89,"GE","LE",-15,"dBm",,,,,,6051,"TX_HD_4G_10M_B12_TX_LB3_FAILED",6,"TX_FAILED",,,,
"TX_HD_4G_10M_B12_TX_LB3","HD3",60510002,-80,"GE","LE",-41,"dBm",,,,,,6051,"TX_HD_4G_10M_B12_TX_LB3_FAILED",6,"TX_FAILED",,,,
"TX_HD_4G_10M_B12_TX_LB3","HD5",60510003,-110,"GE","LE",-62,"dBm",,,,,,6051,"TX_HD_4G_10M_B12_TX_LB3_FAILED",6,"TX_FAILED",,,,
"TX_PE_2G_B2_TX_HB1","PErms",60600000,0,"GE","LE",5,,,,,,,6060,"TX_PE_2G_B2_TX_HB1_FAILED",6,"TX_FAILED",,,,
"TX_PE_2G_B2_TX_HB1","SpurUpper",60600001,-89,"GE","LE",-63,"dBc",,,,,,6060,"TX_PE_2G_B2_TX_HB1_FAILED",6,"TX_FAILED",,,,
"TX_PE_2G_B2_TX_HB1","SpurLower",60600002,-89,"GE","LE",-63,"dBc",,,,,,6060,"TX_PE_2G_B2_TX_HB1_FAILED",6,"TX_FAILED",,,,
"TX_PE_2G_B2_TX_HB1","IQOffset",60600003,-89,"GE","LE",-15,,,,,,,6060,"TX_PE_2G_B2_TX_HB1_FAILED",6,"TX_FAILED",,,,
"TX_PLLLOCK_2G_B2_TX_HB1","TEST1",60750000,0.8,"GE","LE",1.5,"V",,,,,,6075,"TX_PLLLOCK_2G_B2_TX_HB1_FAILED",6,"TX_FAILED",,,,
