//  TRX,  INT,   STRING, STRING,      INT,double,#   STRING,   int,  string_Ary, string_Ary, double_Ary, double_Ary,double_Ary,double_Ary,double_Ary,string
//RX|TX,mBand,port_name,BB_Path,RXPLL_sel,inLoss,#  test_Type, burst, type,  ifmode,      pow1,       pow2,     freq1,     freq2,  baseband, mGainReg,,
RX,40,RXRF_HB5A,A,1,0
,,,,,,,,IB_IIP3_4G_1.4MHz,4G_1.4MHz,-50.0,,2137.1e6,2134.4e6,0.2e6,37,6
,,,,,,,,IB_IIP3_4G_5MHz,4G_5MHz,-50.0,,2129.9e6,2120.0e6,0.2e6,37,6
,,,,,,,,IB_IIP3_4G_10MHz,4G_10MHz,-50.0,,2127.4e6,2115.0e6,0.2e6,37,6
,,,,,,,,IB_IIP3_4G_15MHz,4G_15MHz,-50.0,,2124.9e6,2110.0e6,0.2e6,37,6
,,,,,,,,IB_IIP3_4G_20MHz,4G_20MHz,-50.0,,2122.4e6,2105.0e6,0.2e6,37,6
,,,,,,,,OOB_IIP3_HDUP_3G_SC,3G_SC,-30.0,,2045.1e6,1950.0e6,0.2e6,37,10
,,,,,,,,OOB_IIP3_HDUP_3G_DC,3G_DC,-30.0,,2045.1e6,1950.0e6,0.2e6,37,10
,,,,,,,,OOB_IIP3_HDUP_4G_20MHz,4G_20MHz,-30.0,,2045.1e6,1950.0e6,0.2e6,37,6
,,,,,,,,OOB_IIP3_2DUP_3G_SC,3G_SC,-30.0,,1760.1e6,1950.0e6,0.1e6,37,10
,,,,,,,,OOB_IIP3_2DUP_3G_DC,3G_DC,-30.0,,1760.1e6,1950.0e6,0.1e6,37,10
,,,,,,,,OOB_IIP3_2DUP_4G_5MHz,4G_5MHz,-30.0,,1760.1e6,1950.0e6,0.1e6,37,6
,,,,,,,,OOB_IIP3_2DUP_4G_10MHz,4G_10MHz,-30.0,,1760.1e6,1950.0e6,0.1e6,37,6
,,,,,,,,OOB_IIP3_2DUP_4G_15MHz,4G_15MHz,-30.0,,1760.1e6,1950.0e6,0.1e6,37,6
,,,,,,,,OOB_IIP3_2DUP_4G_20MHz,4G_20MHz,-30.0,,1760.1e6,1950.0e6,0.1e6,37,6
,,,,,,,,IB_IIP2_2G_Uncal,2G,-33.0,,2134.1e6,2134.0e6,0.1e6,37,12
,,,,,,,,OOB_IIP2_4G_1.4MHz_Uncal,4G_1.4MHz,-30.0,,1950.1e6,1950.0e6,0.1e6,37,12
,,,,,,,,OOB_IIP2_4G_3MHz_Uncal,4G_3MHz,-30.0,,1950.1e6,1950.0e6,0.1e6,37,12
,,,,,,,,OOB_IIP2_4G_5MHz_Uncal,4G_5MHz,-30.0,,1950.1e6,1950.0e6,0.1e6,37,12
,,,,,,,,OOB_IIP2_4G_10MHz_Uncal,4G_10MHz,-30.0,,1950.1e6,1950.0e6,0.1e6,37,12
,,,,,,,,OOB_IIP2_4G_15MHz_Uncal,4G_15MHz,-30.0,,1950.1e6,1950.0e6,0.1e6,37,12
,,,,,,,,OOB_IIP2_4G_20MHz_Uncal,4G_20MHz,-30.0,,1950.1e6,1950.0e6,0.1e6,37,12
,,,,,,,,OOB_IIP2_4G_40MHz_Uncal,4G_40MHz,-30.0,,1950.1e6,1950.0e6,0.1e6,37,12
,,,,,,IIP_NOLNA,26,IB_IIP3_2G,2G,-50.0,,2139.2e6,2138.5e6,0.1e6,23,12
,,,,,,,,IB_IIP3_3G_SC,3G_SC,-50.0,,2136.5e6,2134.1e6,1.1e6,23,10
,,,,,,,,IB_IIP3_3G_DC,3G_DC,-50.0,,2134.0e6,2131.6e6,3.6e6,20,5
,,,,,,,,IB_IIP3_TDSCDMA,TDSCDMA,-50.0,,2136.7e6,2133.6e6,0.2e6,23,10
,,,,,,,,IB_IIP3_4G_1.4MHz,4G_1.4MHz,-50.0,,2137.1e6,2134.4e6,0.2e6,23,6
,,,,,,,,IB_IIP3_4G_5MHz,4G_5MHz,-50.0,,2129.9e6,2120.0e6,0.2e6,23,6
,,,,,,,,IB_IIP3_4G_10MHz,4G_10MHz,-50.0,,2127.4e6,2115.0e6,0.2e6,23,6
,,,,,,,,IB_IIP3_4G_15MHz,4G_15MHz,-50.0,,2124.9e6,2110.0e6,0.2e6,23,6
,,,,,,,,IB_IIP3_4G_20MHz,4G_20MHz,-50.0,,2122.4e6,2105.0e6,0.2e6,23,6
